name,eni_number,mmsi
GOUDEN BOAYUM,2008156, 244700687
STORE BAELT,2201080, 244620631
EKE MARIA,2201129, 244730393
LARUS,2201662, 244780857
LOTUS,2202805, 244153681
NOORDSTER,2202834, 244710334
WILLEM BARENTZ,2205587, 244890162
LIBERTÉ,2206045, 244750771
SCHUTTEVAER,2206391
STERRENWIND,2207513, 244200501, https://static.vesselfinder.net/ship-photo/0-244200501-b02f6172fae349d0f132e4b2a6463b61/1?v1
EUREKA,2209357, 244100145
WIJLDE WIJTSING,2209359
ANNA VAN ORANJE,2209785, 244010328
NOORDERLICHT,2211132, 244091000
BABBELAER,2211253, 244650826
UMOJA,2301037, 244030327
STELLA FRISIA,2301226, 244750634
IDEAAL,2301705, 244070264
AEGIR,2301727, 244740853
UTOPIA,2303506, 244620292
PELIKAAN,2303525, 244670757
VRIENDSCHAP,2305068, 244670057
VERTROUWEN,2305622, 244770808
ISELMAR,2305652, 244630179
PHOENIX,2305839, 244750770
'T MANNA,2308480, 244770559
MERMAID,2309209, 244710696
SOEVEREIN,2309784, 244750673
HELENA,2324076, 244700334
DE TOEKOMST,2325123, 244660280
JANNES VAN CAMPEN,2325185
DE EENHOORN,2325542, 244780785
'T WAPEN FAN FRYSLÂN,2325588, 244730529
TWEE GEBROEDERS,2330822, 244710670
WEISSE DÜNE,2332509
STRIJD,2508933, 244730367
STÂNFRIES,2508992, 244770390
VRIENDSCHAP,2605611, 244010301
ORION,2605619, 244740950
DE VLIETER,2605633, 244630490
DE AMAZONE,2605781, 244740778
HOLLANDIA,2717610, 244770584
DAGERAAD,2717838, 244670488
AVANTI,2718267, 244710041
MARGOT,3010467, 244620518
ANTONIUS,3010689, 244690865
SUDWESTER,3010765, 244710978
DE VRIJHEID,3010792,244690890
AVONTUUR,3030398, 244700591
LINQUENDA II,3040011, 244740568
RIVAL,3040777, 244690765
BRUINVISCH,3050018, 244850455
MEDUSA,3050202, 244700395
VROUWEZAND,3050231, 244710889
CHATEAUROUX,3050259, 244750034
ALIDA,3050406, 244700923
MAXIMA,3050556, 244770909
BALDER,3050895
CATHARINA VAN MIJDRECHT,3050909,244700438
ONVERWACHT,3051170, 244670601
ANTONIA,3051245, 244650672
NOOIT VOLMAECKT,3150303, 244670926
LIS,3160010, 244780734
VRIJBUITER,3160099, 244650232
VROUWE FRIDA CORNELIA,3160107, 244670020
LINQUENDA,3160161, 244740858
WATERMAN,3170039, 244780983
ALLURE,3170068, 244260009
AMORE VICI,3170105, 244670523
RISICO,3170114, 244770295
GROTE JAGER,3170274, 244690092
EMMA,3170403
ELIZABETH,3170405, 244780795
ALDEBARAN,3170475, 244740528
ANNA,3230114, 244085462
MINERVA,3250042, 244750441
NOORDFRIES,3270099, 244710500
HALVE MAAN,3270542, 244710120
MARE FAN FRYSLÂN,3270613, 244850381
DE HOOP,3310349, 244750726
ZUIDERZEE,3330036, 244780292
SUDERMAR,3330111, 244810821
DE HOGE WIER,3330144, 244710517
MERIDIAAN,3340129, 244730366
PASSAAT,3350127, 244670961
POOLSTER,3360004, 244750085
VICTORIA S,3370010, 244740651
